ID,Site,Year,Species,Stage,SL,Mass,GutLength1,GutLength2,AvgGutLength,Include,DryWeight,EmbryoDryWeight,EmbryoCount,EmbryoStage
279443,24-03,2024,Xumb,Female,29.62,0.4481,50.36,49.98,50.17,Yes,0.0917,0.0133,10,4
297524,Rio San Rafael Tributary,2019,Acul,Female,50,1.416,29.74,30.14,29.94,Yes,0.38,0.024,15,4
297523,Rio San Rafael Tributary,2019,Acul,Female,36,0.51,17.44,18.02,17.73,Yes,0.133,0.008,8,3
297544,Rio San Rafael Tributary,2019,Acul,Female,34,0.457,17.08,17.62,17.35,Yes,0.112,0.004,7,3
297595,Rio San Rafael Tributary,2019,Acul,Immature,27,0.241,11.06,11.45,11.255,Yes,0.053,NA,NA,1
297539,Rio San Rafael Tributary,2019,Acul,Female,48,1.217,21.58,21.78,21.68,Yes,0.355,0.019,12,4
297548,Rio San Rafael Tributary,2019,Acul,Female,35,0.464,19.82,19.83,19.825,Yes,0.111,0.002,5,3
297530,Rio San Rafael Tributary,2019,Acul,Female,45,1.065,25.34,22.98,24.16,Yes,0.281,0.008,10,3
297526,Rio San Rafael Tributary,2019,Acul,Female,37,0.571,16.27,16.47,16.37,Yes,0.133,0.007,4,6
297572,Rio San Rafael Tributary,2019,Acul,Female,30,0.329,16.7,17.02,16.86,Yes,0.086,0.005,4,7
297542,Rio San Rafael Tributary,2019,Acul,Female,37,0.577,17.89,17.8,17.845,Yes,0.147,0.007,4,10
297545,Rio San Rafael Tributary,2019,Acul,Female,45,1.033,21.42,21.54,21.48,Yes,0.301,0.017,9,7
297560,Rio San Rafael Tributary,2019,Acul,Immature,36,0.433,16.64,16.6,16.62,Yes,0.127,NA,NA,2
297553,Rio San Rafael Tributary,2019,Acul,Immature,36,0.456,19.46,19.94,19.7,Yes,0.152,0.002,NA,2
297555,Rio San Rafael Tributary,2019,Acul,Immature,38,0.585,14.24,14.81,14.525,Yes,0.158,NA,NA,2
297533,Rio San Rafael Tributary,2019,Acul,Immature,36,0.516,16.87,17.35,17.11,Yes,0.126,NA,NA,1
297346,Rio Balsa Tributay,2019,Acul,Female,38,0.745,16.06,16.44,16.25,Yes,0.168,0.007,6,8
297357,Rio Balsa Tributay,2019,Acul,Immature,34,0.491,15.84,16.92,16.38,Yes,0.1,NA,NA,1
297293,Rio Balsa Tributay,2019,Acul,Immature,28,0.261,19.22,19.21,19.215,Yes,0.063,NA,NA,1
297365,Rio Balsa Tributay,2019,Acul,Female,34,0.621,15.98,17.14,16.56,Yes,0.136,0.013,8,3
297351,Rio Balsa Tributay,2019,Acul,Immature,50,1.683,18.74,18.83,18.785,Yes,0.431,0.006,NA,1
297354,Rio Balsa Tributay,2019,Acul,Female,44,1.144,21.03,21.29,21.16,Yes,0.282,0.006,7,3
297348,Rio Balsa Tributay,2019,Acul,Female,46,1.372,23.69,22.53,23.11,Yes,0.329,0.017,11,8
297364,Rio Balsa Tributay,2019,Acul,Immature,34,0.462,18.76,19.21,18.985,Yes,0.117,NA,NA,1
297355,Rio Balsa Tributay,2019,Acul,Immature,32,0.41,13.84,13.99,13.915,Yes,0.099,0,NA,1
297367,Rio Balsa Tributay,2019,Acul,Immature,31,0.432,19.11,20.01,19.56,Yes,0.096,0.001,NA,1
297363,Rio Balsa Tributay,2019,Acul,Female,36,0.706,22.08,22.53,22.305,Yes,0.165,0.009,8,10
297362,Rio Balsa Tributay,2019,Acul,Immature,34,0.489,12.93,13.23,13.08,Yes,0.109,NA,NA,1
297347,Rio Balsa Tributay,2019,Acul,Female,45,1.404,25.44,26.53,25.985,Yes,0.336,0.016,9,3
297767,Quebrada Huevo,2019,Acul,Immature,31,0.326,16.44,17.08,16.76,Yes,0.075,NA,NA,1
297763,Quebrada Huevo,2019,Acul,Immature,30,0.334,12.47,12.93,12.7,Yes,0.068,NA,NA,1
297777,Quebrada Huevo,2019,Acul,Immature,26,0.184,12.77,12.67,12.72,Yes,0.048,NA,NA,1
297760,Quebrada Huevo,2019,Acul,Immature,31,0.42,17.12,16.69,16.905,Yes,0.086,NA,NA,1
297730,Quebrada Huevo,2019,Acul,Female,50,1.476,27.1,29.01,28.055,Yes,0.416,0.018,12,3
297776,Quebrada Huevo,2019,Acul,Immature,28,0.232,16,15.75,15.875,Yes,0.063,NA,NA,1
297757,Quebrada Huevo,2019,Acul,Immature,31,0.391,17.7,17.98,17.84,Yes,0.079,NA,NA,1
297743,Quebrada Huevo,2019,Acul,Immature,34,0.481,22.03,21.37,21.7,Yes,0.118,NA,NA,1
297711,Quebrada Huevo,2019,Acul,Female,48,1.344,23.92,23.72,23.82,Yes,0.366,0.03,14,5
297732,Quebrada Huevo,2019,Acul,Female,46,1.288,24.41,24.61,24.51,Yes,0.331,0.021,11,6
297750,Quebrada Huevo,2019,Acul,Female,33,0.456,22.29,20.67,21.48,Yes,0.107,0.008,5,5
297723,Quebrada Huevo,2019,Acul,Female,38,0.737,26.49,26.43,26.46,Yes,0.17,0.018,16,10
296401,Rio Sabogal Tributary,2019,Acul,Immature,29,0.317,16.8,16.68,16.74,Yes,0.081,NA,NA,1
296398,Rio Sabogal Tributary,2019,Acul,Female,40,0.881,22.27,22.87,22.57,Yes,0.225,0.011,8,9
296393,Rio Sabogal Tributary,2019,Acul,Immature,37,0.606,24.7,24.09,24.395,Yes,0.16,NA,NA,1
296396,Rio Sabogal Tributary,2019,Acul,Female,47,1.23,24.9,24.52,24.71,Yes,0.352,0.008,6,3
296394,Rio Sabogal Tributary,2019,Acul,Immature,26,0.18,14.52,14.75,14.635,Yes,0.05,NA,NA,1
296395,Rio Sabogal Tributary,2019,Acul,Immature,29,0.301,14.51,13.95,14.23,Yes,0.073,NA,NA,1
296389,Rio Sabogal Tributary,2019,Acul,Immature,53,1.893,23.87,24.23,24.05,Yes,0.52,NA,NA,1
296397,Rio Sabogal Tributary,2019,Acul,Immature,40,0.693,22.23,21.18,21.705,Yes,0.197,NA,NA,1
296388,Rio Sabogal Tributary,2019,Acul,Immature,35,0.49,19.05,18.14,18.595,Yes,0.133,NA,NA,1
296384,Rio Sabogal Tributary,2019,Acul,Female,47,1.484,27.14,27.47,27.305,Yes,0.376,0.022,14,9
296400,Rio Sabogal Tributary,2019,Acul,Immature,33,0.412,13.25,13.44,13.345,Yes,0.109,NA,NA,1
296380,Rio Sabogal Tributary,2019,Acul,Immature,32,0.414,12.69,13.32,13.005,Yes,0.098,NA,NA,1
296376,Rio Sabogal Tributary,2019,Acul,Female,34,0.478,19.61,19.57,19.59,Yes,0.119,0.002,1,4
297512,Quebrada Serena,2019,Acul,Female,55,2.318,34.32,33.8,34.06,Yes,0.574,0.031,30,3
297510,Quebrada Serena,2019,Acul,Female,47,1.334,25.22,25.6,25.41,Yes,0.342,0.029,18,3
297492,Quebrada Serena,2019,Acul,Female,44,1.082,20.62,21.18,20.9,Yes,0.263,0.026,19,7
197513,Quebrada Serena,2019,Acul,Immature,NA,NA,25.73,25.54,25.635,No,NA,NA,NA,NA
297490,Quebrada Serena,2019,Acul,Female,46,1.217,20.88,20.63,20.755,Yes,0.299,0.022,17,3
297505,Quebrada Serena,2019,Acul,Female,49,1.505,29.85,30.3,30.075,Yes,0.377,0.029,19,8
297506,Quebrada Serena,2019,Acul,Female,37,0.651,20.57,20.87,20.72,Yes,0.145,0.005,12,3
297608,Quebrada Serena,1998,Acul,Immature,NA,NA,22.41,22.91,22.66,No,NA,NA,NA,NA
297500,Quebrada Serena,2019,Acul,Immature,43,0.967,22.63,22.32,22.475,Yes,0.248,NA,NA,1
297515,Quebrada Serena,2019,Acul,Immature,34,0.568,18.05,18.24,18.145,Yes,0.117,NA,NA,2
197488,Quebrada Serena,1998,Acul,Immature,NA,NA,25.04,23.17,24.105,No,NA,NA,NA,NA
297481,Quebrada Serena,2019,Acul,Female,35,0.585,20.92,18.56,19.74,Yes,0.118,0.018,18,3
297485,Quebrada Serena,2019,Acul,Female,38,0.752,22.62,21.42,22.02,Yes,0.162,0.012,16,4
297501,Quebrada Serena,2019,Acul,Female,55,1.94,26.92,21.51,24.215,Yes,0.512,0.043,24,3
